FarmName,Date,Activity,tillage,DAP,MOP,SEED,GERMINATION VALUE,Channels Constructed,Sprinker installed,Irrigation Done
Charan Das Plot 1,15/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,15 kg,15 kg,12 kg,,,,
Charan Das Plot 2,15/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,20 kg,20 kg,16 kg,,,,
Charan Das Plot 3,16/05/2024,sowing,,,,9.8 kg,,,,
Charan Das Plot 3,15/05/2024,Field Preparation & Fertilizer Application,2 times,12.5 kg,12.5 kg,,,,,
Charan Das Plot 4,16/05/2024,sowing,,,,8.5 kg,,,,
Charan Das Plot 4,15/05/2024,Field Preparation & Fertilizer Application,2 times,10.65 kg,10.65 kg,,,,,
Charan Das Plot 5,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,15.5 kg,15.5 kg,12.35 kg,,,,
Charan Das Plot 6,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,45.5 kg,45.5 kg,36 kg,,,,
Charan Das Plot 7,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,4.8 kg,4.8 kg,3.80 kg,,,,
Charan Das Plot 8,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,12.5 kg,12.5 kg,9.7 kg,,,,
Charan Das Plot 9,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,4.20kg,4.20kg,3.40 kg,,,,
Charan Das Plot 10,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,17.250 kg,17.250 kg,14.20 kg,,,,
Charan Das Plot 11,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,17 kg,17 kg,13.5 kg,,,,
Charan Das Plot 12,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,15.5 kg,15.5 kg,12.132 kg,,,,
Charan Das Plot 13,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,4.90 kg,4.90 kg,3.915 kg,,,,
Charan Das Plot 14,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,9.600 kg,9.600 kg,7.600 kg,,,,
Charan Das Plot 15,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,12.5 kg,12.5 kg,10 kg,,,,
Charan Das Plot 16,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,2 kg,2 kg,1.6 kg,,,,
Charan Das Plot 17,16/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,35 kg,35 kg,27.5 kg,,,,
Charan Das Plot 18,17/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,11.80kg,11.80kg,9.27 kg,,,,
Charan Das Plot 19,17/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,8.20 kg,8.20 kg,6.5kg,,,,
Charan Das Plot 20,17/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,42.5 kg,42.5 kg,32.500 kg,,,,
Ramesh Plot 1,17/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,58.220kg,58.220kg,46.5 kg,,,,
Ramesh Plot 2,17/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,7.83 kg,7.83 kg,6.3 kg,,,,
Ramesh Plot 3,17/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,10 kg,10 kg,8 kg,,,,
Ramesh Plot 4,17/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,22.7 kg,22.7 kg,9 kg,,,,
Nain Singh Plot 1,18/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,34 kg,34 kg,26.5kg,,,,
Nain Singh Plot 2,18/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,35 kg,35 kg,27.65kg,,,,
Nain Singh Plot 3,18/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,10kg,10kg,10kg,,,,
Nain Singh Plot 4,18/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,42 kg,42 kg,33.20kg,,,,
Rakesh Plot 1,19/05/2024,sowing,,,,15.16kg,,,,
Rakesh Plot 1,18/05/2024,Field Preparation & Fertilizer Application,2 times,19 kg,19 kg,,,,,
Rakesh Plot 2,19/05/2024,sowing,,,,6.57 kg,,,,
Rakesh Plot 2,18/05/2024,Field Preparation & Fertilizer Application,2 times,8.22 kg,8.22 kg,,,,,
Rakesh Plot 3,18/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,4.165 kg,4.165 kg,3.33 kg,,,,
Rakesh Plot 4,19/05/2024,sowing,,,,3.33 kg,,,,
Rakesh Plot 4,18/05/2024,Field Preparation & Fertilizer Application,2 times,7.150kg,7.150kg,,,,,
Rakesh Plot 5,19/05/2024,sowing,,,,0.88 kg,,,,
Rakesh Plot 5,18/05/2024,Field Preparation & Fertilizer Application,2 times,1.1kg,1.1kg,,,,,
Rakesh Plot 6,19/05/2024,sowing,,,,0.930 kg,,,,
Rakesh Plot 6,18/05/2024,Field Preparation & Fertilizer Application,2 times,1.170kg,1.170kg,,,,,
Rakesh Plot 7,19/05/2024,sowing,,,,0.44 kg,,,,
Rakesh Plot 7,18/05/2024,Field Preparation & Fertilizer Application,2 times,0.6kg,0.6kg,,,,,
Rakesh Plot 8,19/05/2024,sowing,,,,5.19 kg,,,,
Rakesh Plot 8,18/05/2024,Field Preparation & Fertilizer Application,2 times,6.5 kg,6.5 kg,,,,,
Rakesh Plot 9,19/05/2024,sowing,,,,4.15 kg,,,,
Rakesh Plot 9,18/05/2024,Field Preparation & Fertilizer Application,2 times,5.25 kg,5.25 kg,,,,,
Rakesh Plot 10,19/05/2024,sowing,,,,4.15 kg,,,,
Rakesh Plot 10,18/05/2024,Field Preparation & Fertilizer Application,2 times,5 kg,5 kg,,,,,
Rakesh Plot 11,19/05/2024,sowing,,,,2.55 kg,,,,
Rakesh Plot 11,18/05/2024,Field Preparation & Fertilizer Application,2 times,3.25 kg,3.25 kg,,,,,
Rajendra Plot-1,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,4.8 kg,4.8 kg,3.8kg,,,,
Rajendra Plot-2,19/05/2024,"Field Preparation, Fertilizer application & sowing",2 times,12.350 kg,12.350 kg,9.8kg,,,,
